# Time, Mass, X position, Y position
320,2000000000, 237.477890306,-28.8044681365
320,1000000000, -921.668225027,-449.553447603
320,1000000000, -810.837598369,87.1168785152
320,1000000000, 247.510469471,422.49847025
320,1000000000, -1641.37560326,-1105.056157
330,1000000000, 387.984904767,-738.543754649
330,1000000000, -1609.69426801,990.82964547
330,1000000000, -625.823501673,-966.710154777
330,1000000000, -91.3570373156,1969.43041348
330,2000000000, 241.787833249,-33.222488462
330,1000000000, -948.27176639,-461.558127092
330,1000000000, -835.159865518,96.7291183995
330,1000000000, 256.824502915,430.196840526
330,1000000000, -1661.43845328,-1137.58570444
340,1000000000, 402.714687997,-764.714083285
340,1000000000, -1656.64548103,1021.38378022
340,1000000000, -648.664317161,-993.429650019
340,1000000000, -92.810213883,2029.29810232
340,2000000000, 246.097764694,-37.6404924711
340,1000000000, -974.875285692,-473.562799643
340,1000000000, -859.482121183,106.34133359
340,1000000000, 266.138523178,437.895141054
340,1000000000, -1681.50128561,-1170.11523929
350,1000000000, 417.444452092,-790.884381601
350,1000000000, -1703.59668314,1051.93790534
350,1000000000, -671.50513732,-1020.14911532
350,1000000000, -94.2633921344,2089.16578035
350,2000000000, 250.407685567,-42.0584808147
350,1000000000, -1001.47878435,-485.567466455
350,1000000000, -883.804365906,115.953525631
350,1000000000, 275.452530369,445.59337546
350,1000000000, -1701.56410075,-1202.64476177
360,1000000000, 432.17419803,-817.054651383
360,1000000000, -1750.54787491,1082.49202134
360,1000000000, -694.345962186,-1046.86855229
360,1000000000, -95.7165719929,2149.03344818
360,2000000000, 254.717596702,-46.4764541171
360,1000000000, -1028.08226364,-497.572128573
360,1000000000, -908.126600197,125.565695919
360,1000000000, 284.766524634,453.291547111
360,1000000000, -1721.62689915,-1235.17427207
370,1000000000, 446.903926719,-843.224894266
370,1000000000, -1797.49905685,1113.04612868
370,1000000000, -717.186791797,-1073.5879624
370,1000000000, -97.1697533864,2208.90110638
370,2000000000, 259.027498846,-50.8944129762
370,1000000000, -1054.68572472,-509.57678691
370,1000000000, -932.448824537,135.177845728
370,1000000000, 294.080506143,460.989659134
370,1000000000, -1741.68968127,-1267.70377039
380,1000000000, 461.633638998,-869.395111754
380,1000000000, -1844.45022945,1143.6002278
380,1000000000, -740.027626186,-1100.30734705
380,1000000000, -98.6229362472,2268.76875547
380,2000000000, 263.337392671,-55.3123579634
380,1000000000, -1081.28916864,-521.581442266
380,1000000000, -956.771039376,144.789976215
380,1000000000, 303.39447509,468.68771444
380,1000000000, -1761.75244753,-1300.23325693
390,1000000000, 476.363335651,-895.565305228
390,1000000000, -1891.40139317,1174.1543191
390,1000000000, -762.868465386,-1127.02670753
390,1000000000, -100.076120512,2328.63639594
390,2000000000, 267.647278785,-59.7302896241
390,1000000000, -1107.89259636,-533.586095342
390,1000000000, -981.09324514,154.402088445
390,1000000000, 312.708431682,476.385715742
390,1000000000, -1781.81519833,-1332.76273188
400,1000000000, 491.093017407,-921.735475965
400,1000000000, -1938.35254841,1204.70840295
400,1000000000, -785.709309431,-1153.74604502
400,1000000000, -101.52930612,2388.50402821
400,2000000000, 271.957157739,-64.1482084784
400,1000000000, -1134.49600877,-545.590746755
400,1000000000, -1005.41544223,164.01418339
400,1000000000, 322.022376142,484.083665569
400,1000000000, -1801.87793407,-1365.29219543
410,1000000000, 505.822684945,-947.905625141
410,1000000000, -1985.30369558,1235.2624797
410,1000000000, -808.550158352,-1180.46536066
410,1000000000, -102.982493017,2448.37165271
410,2000000000, 276.267030032,-68.5661150216
410,1000000000, -1161.09940665,-557.595397044
410,1000000000, -1029.73763101,173.626261948
410,1000000000, 331.3363087,491.781566285
410,1000000000, -1821.94065509,-1397.82164776
420,1000000000, 520.552338901,-974.075753847
420,1000000000, -2032.25483504,1265.81654967
420,1000000000, -831.391012179,-1207.1846555
420,1000000000, -104.435681148,2508.23926981
420,2000000000, 280.576896118,-72.9840097257
420,1000000000, -1187.70279075,-569.600046685
420,1000000000, -1054.05981185,183.238324947
420,1000000000, 340.650229593,499.479420101
420,1000000000, -1842.00336177,-1430.35108905
430,1000000000, 535.281979869,-1000.24586309
430,1000000000, -2079.20596712,1296.37061316
430,1000000000, -854.231870942,-1233.90393052
430,1000000000, -105.888870465,2568.10687986
430,2000000000, 284.88675641,-77.4018930399
430,1000000000, -1214.30616173,-581.604696093
430,1000000000, -1078.38198507,192.850373152
430,1000000000, 349.964139061,507.177229088
430,1000000000, -1862.06605442,-1462.88051948
440,1000000000, 550.011608404,-1026.41595382
440,1000000000, -2126.15709214,1326.92467046
440,1000000000, -877.072734669,-1260.62318665
440,1000000000, -107.342060919,2627.9744832
440,2000000000, 289.196611285,-81.8197653917
440,1000000000, -1240.90952023,-593.609345637
440,1000000000, -1102.704151,202.462407273
440,1000000000, 359.278037346,514.874995186
440,1000000000, -1882.12873337,-1495.40993922
450,1000000000, 564.741225029,-1052.5860269
450,1000000000, -2173.1082104,1357.47872182
450,1000000000, -899.913603389,-1287.34242476
450,1000000000, -108.795252468,2687.84208011
450,2000000000, 293.506461089,-86.2376271881
450,1000000000, -1267.51286681,-605.613995637
450,1000000000, -1127.02630991,212.074427969
450,1000000000, 368.591924692,522.572720217
450,1000000000, -1902.19139892,-1527.93934844
460,1000000000, 579.470830233,-1078.75608315
460,1000000000, -2220.05932217,1388.0327675
460,1000000000, -922.754477128,-1314.06164568
460,1000000000, -110.248445068,2747.7096709
460,2000000000, 297.816306138,-90.6554788163
460,1000000000, -1294.11620201,-617.618646376
460,1000000000, -1151.3484621,221.686435853
460,1000000000, 377.905801339,530.270405893
460,1000000000, -1922.25405137,-1560.46874731
470,1000000000, 594.200424477,-1104.92612333
470,1000000000, -2267.01042773,1418.58680774
470,1000000000, -945.595355911,-1340.78085019
470,1000000000, -111.701638681,2807.57725583
470,2000000000, 302.126146722,-95.0733206452
470,1000000000, -1320.71952633,-629.6232981
470,1000000000, -1175.67060782,231.298431496
470,1000000000, 387.219667529,537.968053824
470,1000000000, -1942.31669097,-1592.99813598
480,1000000000, 608.930008194,-1131.09614815
480,1000000000, -2313.96152732,1449.14084274
480,1000000000, -968.436239765,-1367.50003901
480,1000000000, -113.154833268,2867.44483514
480,2000000000, 306.435983109,-99.4911530257
480,1000000000, -1347.32284021,-641.627951026
480,1000000000, -1199.99274733,240.910415434
480,1000000000, 396.533523498,545.665665526
480,1000000000, -1962.37931801,-1625.52751461
490,1000000000, 623.659581793,-1157.26615826
490,1000000000, -2360.91262116,1479.69487272
490,1000000000, -991.277128712,-1394.21921284
490,1000000000, -114.608028795,2927.31240907
490,2000000000, 310.745815544,-103.908976292
490,1000000000, -1373.9261441,-653.632605342
490,1000000000, -1224.31488086,250.522388165
490,1000000000, 405.847369481,553.363242428
490,1000000000, -1982.44193273,-1658.05688335
500,1000000000, 638.389145658,-1183.43615431
500,1000000000, -2407.86370948,1510.24889787
500,1000000000, -1014.11802277,-1420.93837234
500,1000000000, -116.061225227,2987.17997783
500,2000000000, 315.055644255,-108.326790763
500,1000000000, -1400.52943838,-665.637261212
500,1000000000, -1248.63700864,260.134350158
500,1000000000, 415.161205707,561.060785879
500,1000000000, -2002.50453538,-1690.58624235
510,1000000000, 653.118700153,-1209.60613686
510,1000000000, -2454.81479249,1540.80291837
510,1000000000, -1036.95892198,-1447.65751814
510,1000000000, -117.514422534,3047.04754164
510,2000000000, 319.365469451,-112.744596742
510,1000000000, -1427.13272342,-677.64191878
510,1000000000, -1272.95913087,269.746301851
510,1000000000, 424.475032403,568.758297152
510,1000000000, -2022.56712617,-1723.11559176
520,1000000000, 667.848245623,-1235.77610648
520,1000000000, -2501.76587038,1571.35693441
520,1000000000, -1059.79982634,-1474.37665082
520,1000000000, -118.967620683,3106.91510069
520,2000000000, 323.675291327,-117.162394518
520,1000000000, -1453.73599958,-689.646578167
520,1000000000, -1297.28124775,279.358243658
520,1000000000, 433.78884979,576.455777451
520,1000000000, -2042.62970534,-1755.64493171
530,1000000000, 682.577782392,-1261.94606367
530,1000000000, -2548.71694333,1601.91094613
530,1000000000, -1082.64073588,-1501.09577096
530,1000000000, -120.420819648,3166.78265517
530,2000000000, 327.985110062,-121.580184367
530,1000000000, -1480.33926718,-701.651239481
530,1000000000, -1321.60335948,288.970175967
530,1000000000, 443.102658084,584.153227916
530,1000000000, -2062.69227309,-1788.17426234
540,1000000000, 697.307310768,-1288.11600892
540,1000000000, -2595.66801152,1632.4649537
540,1000000000, -1105.48165061,-1527.81487909
540,1000000000, -121.8740194,3226.65020523
540,2000000000, 332.294925823,-125.997966553
540,1000000000, -1506.94252652,-713.655902812
540,1000000000, -1345.92546624,298.582099144
540,1000000000, 452.416457496,591.850649626
540,1000000000, -2082.75482962,-1820.70358377
550,1000000000, 712.036831044,-1314.2859427
550,1000000000, -2642.61907512,1663.01895726
550,1000000000, -1128.32257056,-1554.53397571
550,1000000000, -123.327219913,3286.51775105
550,2000000000, 336.604738766,-130.415741326
550,1000000000, -1533.5457779,-725.660568237
550,1000000000, -1370.24756819,308.194013532
550,1000000000, 461.730248234,599.548043603
550,1000000000, -2102.81737512,-1853.23289615
560,1000000000, 726.766343496,-1340.45586543
560,1000000000, -2689.57013428,1693.57295696
560,1000000000, -1151.16349575,-1581.25306133
560,1000000000, -124.780421163,3346.38529279
560,2000000000, 340.914549034,-134.833508926
560,1000000000, -1560.14902158,-737.66523582
560,1000000000, -1394.5696655,317.805919459
560,1000000000, 471.044030498,607.245410818
560,1000000000, -2122.87990979,-1885.76219959
570,1000000000, 741.495848388,-1366.62577752
570,1000000000, -2736.52118915,1724.12695291
570,1000000000, -1174.00442618,-1607.9721364
570,1000000000, -126.233623126,3406.25283057
570,2000000000, 345.224356762,-139.251269583
570,1000000000, -1586.75225783,-749.669905616
570,1000000000, -1418.89175833,327.417817233
570,1000000000, 480.357804484,614.942752192
570,1000000000, -2142.94243378,-1918.29149421
580,1000000000, 756.225345969,-1392.79567937
580,1000000000, -2783.47223988,1754.68094526
580,1000000000, -1196.84536187,-1634.69120138
580,1000000000, -127.686825779,3466.12036456
580,2000000000, 349.534162077,-143.669023515
580,1000000000, -1613.35548687,-761.67457767
580,1000000000, -1443.21384682,337.029707143
580,1000000000, 489.671570384,622.640068601
580,1000000000, -2163.00494729,-1950.82078012
590,1000000000, 770.954836479,-1418.96557134
590,1000000000, -2830.42328659,1785.23493412
590,1000000000, -1219.68630283,-1661.41025668
590,1000000000, -129.140029102,3525.98789487
590,2000000000, 353.843965094,-148.086770932
590,1000000000, -1639.95870895,-773.679252017
590,1000000000, -1467.53593112,346.641589468
590,1000000000, 498.985328383,630.337360877
590,1000000000, -2183.06745046,-1983.35005744
600,1000000000, 785.684320142,-1445.13545377
600,1000000000, -2877.37432942,1815.7889196
600,1000000000, -1242.52724909,-1688.12930272
600,1000000000, -130.593233073,3585.85542163
600,2000000000, 358.153765925,-152.504512035
600,1000000000, -1666.56192428,-785.683928685
600,1000000000, -1491.85801135,356.253464468
600,1000000000, 508.299078662,638.034629813
600,1000000000, -2203.12994345,-2015.87932627
610,1000000000, 800.413797176,-1471.305327
610,1000000000, -2924.32536849,1846.34290181
610,1000000000, -1265.36820064,-1714.84833988
610,1000000000, -132.046437673,3645.72294495
610,2000000000, 362.46356467,-156.922247014
