# Info, Time [s]
Iteration 4290, 8.8e-05
Iteration 4300, 8.3e-05
Iteration 4310, 8.2e-05
Iteration 4320, 8.2e-05
Iteration 4330, 8.3e-05
Iteration 4340, 8.1e-05
Iteration 4350, 7.7e-05
Iteration 4360, 7.7e-05
Iteration 4370, 7.5e-05
Iteration 4380, 7.3e-05
Iteration 4390, 7.3e-05
Iteration 4400, 7.5e-05
Iteration 4410, 7.3e-05
Iteration 4420, 7.2e-05
Iteration 4430, 7.3e-05
Iteration 4440, 7.3e-05
Iteration 4450, 7.3e-05
Iteration 4460, 7e-05
Iteration 4470, 6.8e-05
Iteration 4480, 6.6e-05
Iteration 4490, 6.5e-05
Iteration 4500, 6.3e-05
Iteration 4510, 6.3e-05
Iteration 4520, 6.1e-05
Iteration 4530, 6.1e-05
Iteration 4540, 5.7e-05
Iteration 4550, 5.7e-05
Iteration 4560, 5.4e-05
Iteration 4570, 5.2e-05
Iteration 4580, 5.2e-05
Iteration 4590, 5.3e-05
Iteration 4600, 5.2e-05
Iteration 4610, 5.2e-05
Iteration 4620, 5.2e-05
Iteration 4630, 5.3e-05
Iteration 4640, 5.2e-05
Iteration 4650, 5e-05
Iteration 4660, 5e-05
Iteration 4670, 4.8e-05
Iteration 4680, 4.7e-05
Iteration 4690, 4.6e-05
Iteration 4700, 4.6e-05
Iteration 4710, 4.6e-05
Iteration 4720, 4.6e-05
Iteration 4730, 4.6e-05
Iteration 4740, 4.5e-05
Iteration 4750, 4.5e-05
Iteration 4760, 4.5e-05
Iteration 4770, 4.5e-05
Iteration 4780, 4.4e-05
Iteration 4790, 4.5e-05
Iteration 4800, 4.9e-05
Iteration 4810, 4.4e-05
Iteration 4820, 4.4e-05
Iteration 4830, 4.4e-05
Iteration 4840, 4.5e-05
Iteration 4850, 4.5e-05
Iteration 4860, 4.5e-05
Iteration 4870, 4.4e-05
Iteration 4880, 4.4e-05
Iteration 4890, 4.4e-05
Iteration 4900, 4.4e-05
Iteration 4910, 4.4e-05
Iteration 4920, 4.5e-05
Iteration 4930, 4.3e-05
Iteration 4940, 4.3e-05
Iteration 4950, 4.1e-05
Iteration 4960, 4e-05
Iteration 4970, 4e-05
Iteration 4980, 4.1e-05
Iteration 4990, 4.1e-05
Iteration 5000, 4.1e-05
Total time, 21.1385
