# Info, Time [s]
Iteration 4100, 0.019598
Iteration 4110, 0.019969
Iteration 4120, 0.019374
Iteration 4130, 0.019984
Iteration 4140, 0.019909
Iteration 4150, 0.036528
Iteration 4160, 0.02034
Iteration 4170, 0.019822
Iteration 4180, 0.019795
Iteration 4190, 0.019577
Iteration 4200, 0.01941
Iteration 4210, 0.020152
Iteration 4220, 0.02024
Iteration 4230, 0.020163
Iteration 4240, 0.020425
Iteration 4250, 0.020364
Iteration 4260, 0.020543
Iteration 4270, 0.019938
Iteration 4280, 0.019733
Iteration 4290, 0.01963
Iteration 4300, 0.019433
Iteration 4310, 0.020159
Iteration 4320, 0.020475
Iteration 4330, 0.020352
Iteration 4340, 0.020227
Iteration 4350, 0.020446
Iteration 4360, 0.020241
Iteration 4370, 0.019924
Iteration 4380, 0.020356
Iteration 4390, 0.019671
Iteration 4400, 0.020352
Iteration 4410, 0.020233
Iteration 4420, 0.020344
Iteration 4430, 0.020313
Iteration 4440, 0.020346
Iteration 4450, 0.020464
Iteration 4460, 0.019637
Iteration 4470, 0.019895
Iteration 4480, 0.020467
Iteration 4490, 0.019584
Iteration 4500, 0.019448
Iteration 4510, 0.02049
Iteration 4520, 0.02042
Iteration 4530, 0.020417
Iteration 4540, 0.02009
Iteration 4550, 0.019817
Iteration 4560, 0.019914
Iteration 4570, 0.020272
Iteration 4580, 0.020104
Iteration 4590, 0.020529
Iteration 4600, 0.020393
Iteration 4610, 0.020037
Iteration 4620, 0.020424
Iteration 4630, 0.019866
Iteration 4640, 0.020197
Iteration 4650, 0.020438
Iteration 4660, 0.020503
Iteration 4670, 0.020028
Iteration 4680, 0.020417
Iteration 4690, 0.019986
Iteration 4700, 0.020544
Iteration 4710, 0.020461
Iteration 4720, 0.020348
Iteration 4730, 0.01973
Iteration 4740, 0.019895
Iteration 4750, 0.019749
Iteration 4760, 0.020031
Iteration 4770, 0.020945
Iteration 4780, 0.020093
Iteration 4790, 0.019667
Iteration 4800, 0.019769
Iteration 4810, 0.020358
Iteration 4820, 0.020364
Iteration 4830, 0.020289
Iteration 4840, 0.020045
Iteration 4850, 0.019878
Iteration 4860, 0.01974
Iteration 4870, 0.019476
Iteration 4880, 0.019849
Iteration 4890, 0.020433
Iteration 4900, 0.020134
Iteration 4910, 0.020182
Iteration 4920, 0.019633
Iteration 4930, 0.020395
Iteration 4940, 0.020293
Iteration 4950, 0.019955
Iteration 4960, 0.019438
Iteration 4970, 0.019938
Iteration 4980, 0.019917
Iteration 4990, 0.019512
Iteration 5000, 0.019936
Total time, 122.17
